time,bar_t,event,detail
2019-08-24 00:00,1406,D_DISARM,"{""day"": ""2019-08-23"", ""P0"": 9858.0, ""H1"": 10804.13}"
2019-11-30 00:00,1994,D_ARM,"{""day"": ""2019-11-29"", ""P0"": 6840.0, ""H1"": 7850.0}"
2019-11-30 00:00,1994,ORDER_CREATE,"{""key"": 1993, ""level"": 7538.6804, ""stop"": 7390.761, ""atr_idx"": 1993, ""atr_end_time"": 1575071999999, ""r_confirm_time"": 1575071999999}"
2019-11-30 00:00,1994,SIGNAL,"{""key"": 1993}"
2019-11-30 14:25,1997,FILL,"{""signal_id"": ""L-2019-11-29 23:59-10"", ""expected"": 7538.6804, ""entry"": 7538.6804, ""stop"": 7390.761, ""key"": 1993}"
2019-11-30 15:59,1997,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-11-29 23:59-10""}"
2019-11-30 23:59,1999,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-11-29 23:59-10""}"
2019-12-01 01:24,2000,EXIT,"{""exit_kind"": ""stop"", ""px"": 7390.761, ""frac"": 1.0, ""signal_id"": ""L-2019-11-29 23:59-10""}"
2020-01-07 00:00,2222,D_ARM,"{""day"": ""2020-01-06"", ""P0"": 6871.04, ""H1"": 7795.34}"
2020-01-07 00:00,2222,ORDER_CREATE,"{""key"": 2220, ""level"": 7524.8953, ""stop"": 7443.0437, ""atr_idx"": 2221, ""atr_end_time"": 1578355199999, ""r_confirm_time"": 1578340799999}"
2020-01-07 00:00,2222,SIGNAL,"{""key"": 2220}"
2020-01-07 03:59,2222,R_REPLACED,"{""old_key"": 2220, ""new_key"": 2222}"
2020-01-07 03:59,2222,ORDER_CANCEL,"{""key"": 2220, ""reason"": ""R_REPLACED"", ""level"": 7524.8953}"
2020-01-07 04:00,2223,ORDER_CREATE,"{""key"": 2222, ""level"": 7648.0801, ""stop"": 7486.9017, ""atr_idx"": 2222, ""atr_end_time"": 1578369599999, ""r_confirm_time"": 1578369599999}"
2020-01-07 04:00,2223,SIGNAL,"{""key"": 2222}"
2020-01-07 11:59,2224,R_REPLACED,"{""old_key"": 2222, ""new_key"": 2224}"
2020-01-07 11:59,2224,ORDER_CANCEL,"{""key"": 2222, ""reason"": ""R_REPLACED"", ""level"": 7648.0801}"
2020-01-07 12:00,2225,ORDER_CREATE,"{""key"": 2224, ""level"": 7830.4948, ""stop"": 7735.0151, ""atr_idx"": 2224, ""atr_end_time"": 1578398399999, ""r_confirm_time"": 1578398399999}"
2020-01-07 12:00,2225,SIGNAL,"{""key"": 2224}"
2020-01-07 13:05,2225,FILL,"{""signal_id"": ""L-2020-01-07 11:59-11"", ""expected"": 7830.4948, ""entry"": 7830.4948, ""stop"": 7735.0151, ""key"": 2224}"
2020-01-07 14:34,2225,EXIT,"{""exit_kind"": ""tp"", ""px"": 7880.6073, ""frac"": 0.25, ""signal_id"": ""L-2020-01-07 11:59-11""}"
2020-01-07 16:04,2226,EXIT,"{""exit_kind"": ""stop"", ""px"": 7735.0151, ""frac"": 0.75, ""signal_id"": ""L-2020-01-07 11:59-11""}"
2020-01-12 00:00,2252,D_ARM,"{""day"": ""2020-01-11"", ""P0"": 7672.0, ""H1"": 8286.34}"
2020-01-12 04:00,2253,ORDER_CREATE,"{""key"": 2252, ""level"": 8094.2005, ""stop"": 7979.1505, ""atr_idx"": 2252, ""atr_end_time"": 1578801599999, ""r_confirm_time"": 1578801599999}"
2020-01-12 04:00,2253,SIGNAL,"{""key"": 2252}"
2020-01-12 04:00,2253,FILL,"{""signal_id"": ""L-2020-01-12 03:59-12"", ""expected"": 8094.2005, ""entry"": 8094.2005, ""stop"": 7979.1505, ""key"": 2252}"
2020-01-12 11:59,2254,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-14 03:59,2264,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-14 15:59,2267,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-14 23:59,2269,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-15 07:59,2271,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-15 15:59,2273,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-15 23:59,2275,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-16 07:59,2277,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-16 15:59,2279,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-17 00:00,2282,D_ARM,"{""day"": ""2020-01-16"", ""P0"": 8105.54, ""H1"": 8916.48}"
2020-01-17 00:00,2282,ORDER_CREATE,"{""key"": 2279, ""level"": 8670.8443, ""stop"": 8574.5988, ""atr_idx"": 2281, ""atr_end_time"": 1579219199999, ""r_confirm_time"": 1579190399999}"
2020-01-17 00:00,2282,SIGNAL,"{""key"": 2279}"
2020-01-17 11:59,2284,R_REPLACED,"{""old_key"": 2279, ""new_key"": 2284}"
2020-01-17 11:59,2284,ORDER_CANCEL,"{""key"": 2279, ""reason"": ""R_REPLACED"", ""level"": 8670.8443}"
2020-01-17 11:59,2284,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-17 12:00,2285,ORDER_CREATE,"{""key"": 2284, ""level"": 8785.8523, ""stop"": 8646.4227, ""atr_idx"": 2284, ""atr_end_time"": 1579262399999, ""r_confirm_time"": 1579262399999}"
2020-01-17 12:00,2285,SIGNAL,"{""key"": 2284}"
2020-01-17 19:59,2286,R_REPLACED,"{""old_key"": 2284, ""new_key"": 2286}"
2020-01-17 19:59,2286,ORDER_CANCEL,"{""key"": 2284, ""reason"": ""R_REPLACED"", ""level"": 8785.8523}"
2020-01-17 19:59,2286,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-17 20:00,2287,ORDER_CREATE,"{""key"": 2286, ""level"": 8836.3997, ""stop"": 8738.705, ""atr_idx"": 2286, ""atr_end_time"": 1579291199999, ""r_confirm_time"": 1579291199999}"
2020-01-17 20:00,2287,SIGNAL,"{""key"": 2286}"
2020-01-18 15:59,2291,R_REPLACED,"{""old_key"": 2286, ""new_key"": 2291}"
2020-01-18 15:59,2291,ORDER_CANCEL,"{""key"": 2286, ""reason"": ""R_REPLACED"", ""level"": 8836.3997}"
2020-01-18 15:59,2291,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-18 16:00,2292,ORDER_CREATE,"{""key"": 2291, ""level"": 8870.1091, ""stop"": 8779.9609, ""atr_idx"": 2291, ""atr_end_time"": 1579363199999, ""r_confirm_time"": 1579363199999}"
2020-01-18 16:00,2292,SIGNAL,"{""key"": 2291}"
2020-01-19 11:04,2296,R_INVALID,"{""key"": 2291, ""mode"": ""5M""}"
2020-01-19 11:04,2296,ORDER_CANCEL,"{""key"": 2291, ""reason"": ""R_INVALID"", ""level"": 8870.1091}"
2020-01-19 11:59,2296,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-19 12:00,2297,ORDER_CREATE,"{""key"": 2296, ""level"": 8980.2474, ""stop"": 8861.3559, ""atr_idx"": 2296, ""atr_end_time"": 1579435199999, ""r_confirm_time"": 1579435199999}"
2020-01-19 12:00,2297,SIGNAL,"{""key"": 2296}"
2020-01-19 12:04,2297,R_INVALID,"{""key"": 2296, ""mode"": ""5M""}"
2020-01-19 12:04,2297,ORDER_CANCEL,"{""key"": 2296, ""reason"": ""R_INVALID"", ""level"": 8980.2474}"
2020-01-19 19:59,2298,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-19 20:00,2299,ORDER_CREATE,"{""key"": 2298, ""level"": 8587.7784, ""stop"": 8498.6274, ""atr_idx"": 2298, ""atr_end_time"": 1579463999999, ""r_confirm_time"": 1579463999999}"
2020-01-19 20:00,2299,SIGNAL,"{""key"": 2298}"
2020-01-19 22:19,2299,R_INVALID,"{""key"": 2298, ""mode"": ""5M""}"
2020-01-19 22:19,2299,ORDER_CANCEL,"{""key"": 2298, ""reason"": ""R_INVALID"", ""level"": 8587.7784}"
2020-01-20 03:59,2300,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-20 04:00,2301,ORDER_CREATE,"{""key"": 2300, ""level"": 8560.7156, ""stop"": 8440.602, ""atr_idx"": 2300, ""atr_end_time"": 1579492799999, ""r_confirm_time"": 1579492799999}"
2020-01-20 04:00,2301,SIGNAL,"{""key"": 2300}"
2020-01-20 19:59,2304,R_REPLACED,"{""old_key"": 2300, ""new_key"": 2304}"
2020-01-20 19:59,2304,ORDER_CANCEL,"{""key"": 2300, ""reason"": ""R_REPLACED"", ""level"": 8560.7156}"
2020-01-20 19:59,2304,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-20 20:00,2305,ORDER_CREATE,"{""key"": 2304, ""level"": 8591.352, ""stop"": 8495.7162, ""atr_idx"": 2304, ""atr_end_time"": 1579550399999, ""r_confirm_time"": 1579550399999}"
2020-01-20 20:00,2305,SIGNAL,"{""key"": 2304}"
2020-01-21 19:44,2310,R_INVALID,"{""key"": 2304, ""mode"": ""5M""}"
2020-01-21 19:44,2310,ORDER_CANCEL,"{""key"": 2304, ""reason"": ""R_INVALID"", ""level"": 8591.352}"
2020-01-21 23:59,2311,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-22 00:00,2312,ORDER_CREATE,"{""key"": 2311, ""level"": 8584.7131, ""stop"": 8462.536, ""atr_idx"": 2311, ""atr_end_time"": 1579651199999, ""r_confirm_time"": 1579651199999}"
2020-01-22 00:00,2312,SIGNAL,"{""key"": 2311}"
2020-01-22 07:59,2313,R_REPLACED,"{""old_key"": 2311, ""new_key"": 2313}"
2020-01-22 07:59,2313,ORDER_CANCEL,"{""key"": 2311, ""reason"": ""R_REPLACED"", ""level"": 8584.7131}"
2020-01-22 07:59,2313,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-22 08:00,2314,ORDER_CREATE,"{""key"": 2313, ""level"": 8623.0799, ""stop"": 8503.5227, ""atr_idx"": 2313, ""atr_end_time"": 1579679999999, ""r_confirm_time"": 1579679999999}"
2020-01-22 08:00,2314,SIGNAL,"{""key"": 2313}"
2020-01-22 15:59,2315,R_REPLACED,"{""old_key"": 2313, ""new_key"": 2315}"
2020-01-22 15:59,2315,ORDER_CANCEL,"{""key"": 2313, ""reason"": ""R_REPLACED"", ""level"": 8623.0799}"
2020-01-22 15:59,2315,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-12""}"
2020-01-22 16:00,2316,ORDER_CREATE,"{""key"": 2315, ""level"": 8677.2983, ""stop"": 8596.134, ""atr_idx"": 2315, ""atr_end_time"": 1579708799999, ""r_confirm_time"": 1579708799999}"
2020-01-22 16:00,2316,SIGNAL,"{""key"": 2315}"
