version,stop_id,group,src,entry_time,entry_px,stop_px,stop_dist_pct,year,stopped,censored,max_R,bars_to_exit
V2,S1,BASE_S1,0.236-3,2019-05-19 09:20,7904.88,7619.96,3.6044,2019,1,0,1.2993,333
V2,S1,BASE_S1,0.236-4,2019-05-26 23:40,8640.15,8535.84,1.2073,2019,1,0,2.5708,454
V2,S1,BASE_S1,0.236-4,2019-06-01 18:55,8483.98,8381.55,1.2073,2019,1,0,3.2296,435
V2,S1,BASE_S1,0.236-4,2019-05-25 05:10,7952.82,7856.81,1.2073,2019,1,0,1.4475,364
V2,S1,BASE_S1,0.236-4,2019-05-26 20:25,8542.85,8439.71,1.2073,2019,1,0,0.3184,2
V2,S1,BASE_S1,0.236-4,2019-05-25 00:45,7948.23,7852.27,1.2073,2019,1,0,1.4962,417
V2,S1,BASE_S1,0.236-4,2019-05-27 20:00,8761.00,8655.23,1.2073,2019,1,0,0.5911,124
V2,S1,BASE_S1,0.236-4,2019-05-28 15:45,8673.27,8568.56,1.2073,2019,1,0,1.1148,152
V2,S1,BASE_S1,0.236-4,2019-05-29 04:55,8585.33,8481.68,1.2073,2019,1,0,0.0263,8
V2,S1,BASE_S1,0.236-4,2019-05-29 01:50,8676.98,8572.22,1.2073,2019,1,0,0.0000,31
V2,S1,BASE_S1,0.236-4,2019-05-27 09:20,8680.82,8576.02,1.2073,2019,1,0,2.1707,338
V2,S1,BASE_S1,0.236-4,2019-06-02 14:40,8660.02,8555.47,1.2073,2019,1,0,1.3479,182
V2,S1,BASE_S1,0.236-4,2019-06-02 04:35,8552.06,8448.81,1.2073,2019,1,0,2.5445,319
V2,S1,BASE_S1,0.236-4,2019-05-30 06:50,8708.06,8602.93,1.2073,2019,1,0,3.4832,122
V2,S1,BASE_S1,0.236-4,2019-05-26 13:20,7918.00,7822.41,1.2073,2019,1,0,12.0955,2433
V2,S1,BASE_S1,0.236-4,2019-06-02 05:55,8571.79,8468.30,1.2073,2019,1,0,2.3480,295
V2,S1,BASE_S1,0.236-4,2019-05-28 02:05,8762.92,8657.13,1.2073,2019,1,0,0.2329,51
V2,S1,BASE_S1,0.236-4,2019-05-25 12:45,8014.46,7917.70,1.2073,2019,1,0,0.4408,270
V2,S1,BASE_S1,0.236-4,2019-05-28 10:55,8680.36,8575.56,1.2073,2019,1,0,0.7308,31
V2,S1,BASE_S1,0.236-4,2019-05-25 11:05,8042.02,7944.93,1.2073,2019,1,0,0.5127,100
V2,S1,BASE_S1,0.236-4,2019-05-31 17:55,8412.79,8311.22,1.2073,2019,1,0,3.9579,929
V2,S1,BASE_S1,0.236-5,2019-06-22 18:30,10776.81,10635.56,1.3107,2019,1,0,0.2350,5
V2,S1,BASE_S1,0.236-5,2019-06-30 12:20,11677.93,11524.87,1.3107,2019,1,0,0.2422,17
V2,S1,BASE_S1,0.236-5,2019-06-25 08:45,11344.05,11195.36,1.3107,2019,1,0,1.0438,43
V2,S1,BASE_S1,0.236-5,2019-06-20 21:50,9504.99,9380.41,1.3107,2019,1,0,35.8403,7502
V2,S1,BASE_S1,0.236-5,2019-06-28 05:50,11227.61,11080.45,1.3107,2019,1,0,8.5105,677
V2,S1,BASE_S1,0.236-5,2019-06-22 14:35,10610.95,10471.87,1.3107,2019,1,0,0.0000,0
V2,S1,BASE_S1,0.236-5,2019-06-28 20:20,12304.57,12143.30,1.3107,2019,1,0,0.0957,5
V2,S1,BASE_S1,0.236-5,2019-06-28 00:00,11329.99,11181.49,1.3107,2019,1,0,2.9763,36
V2,S1,BASE_S1,0.236-5,2019-06-21 03:25,9653.46,9526.93,1.3107,2019,1,0,34.1157,7367
V2,S1,BASE_S1,0.236-5,2019-06-29 13:40,12022.51,11864.93,1.3107,2019,1,0,0.4702,30
V2,S1,BASE_S1,0.236-5,2019-06-28 12:25,11932.63,11776.23,1.3107,2019,1,0,0.3668,4
V2,S1,BASE_S1,0.236-5,2019-06-30 04:35,12072.85,11914.61,1.3107,2019,1,0,0.3698,11
V2,S1,BASE_S1,0.236-5,2019-06-22 19:45,10709.85,10569.48,1.3107,2019,1,0,0.2775,15
V2,S1,BASE_S1,0.236-5,2019-06-26 11:05,12725.43,12558.64,1.3107,2019,1,0,7.4619,115
V2,S1,BASE_S1,0.236-5,2019-06-21 17:40,9897.00,9767.28,1.3107,2019,1,0,31.3987,3029
V2,S1,BASE_S1,0.236-5,2019-06-30 13:40,11583.06,11431.24,1.3107,2019,1,0,0.0000,1
