version,candidate_id,entry_time,entry_px,year,r_6h,r_24h,r_3d,r_7d,r_14d,r_30d,base_mean_6h,base_mean_24h,base_mean_3d,base_mean_7d,base_mean_14d,base_mean_30d,excess_6h,excess_24h,excess_3d,excess_7d,excess_14d,excess_30d
V2,0.236-77,2023-10-21 02:35,29476.93,2023,0.00670,0.01266,0.16342,0.14000,0.16313,0.23443,0.00960,0.02349,0.05446,0.11797,0.14559,0.19850,-0.00290,-0.01083,0.10896,0.02204,0.01754,0.03593
V2,0.236-78,2023-11-17 14:50,35884.32,2023,0.01615,0.01770,0.03896,0.05125,0.06544,0.14872,-0.00139,0.00469,0.00634,0.01911,0.06594,0.14947,0.01754,0.01300,0.03263,0.03214,-0.00050,-0.00075
V2,0.236-79,2023-12-14 13:10,42874.34,2023,-0.00127,-0.00685,-0.02362,0.02726,-0.00454,-0.00456,-0.00295,-0.00407,-0.00473,0.01815,0.00765,0.03230,0.00168,-0.00278,-0.01890,0.00911,-0.01219,-0.03687
V2,0.236-80,2024-01-05 01:45,43612.78,2024,0.00309,0.00893,0.00200,0.05805,-0.05504,-0.01351,-0.00039,0.01040,0.02068,0.02078,-0.03769,-0.01680,0.00348,-0.00147,-0.01868,0.03727,-0.01735,0.00329
V2,0.236-81,2024-01-11 06:15,45619.89,2024,0.03040,0.01475,-0.06249,-0.06210,-0.13311,0.03699,0.00100,0.00147,-0.00223,-0.04741,-0.06641,0.04948,0.02940,0.01328,-0.06026,-0.01468,-0.06670,-0.01249
V2,0.236-82,2024-03-04 00:45,62340.50,2024,0.02064,0.08587,0.06030,0.08733,0.07841,0.04723,0.00576,0.01091,0.03421,0.08741,0.06920,0.07088,0.01488,0.07495,0.02609,-0.00008,0.00920,-0.02364
V2,0.236-83,2024-03-10 14:40,68804.07,2024,0.00718,0.04435,0.05310,-0.02090,-0.04729,0.00551,0.00067,0.00738,-0.00009,-0.03412,-0.03954,0.00245,0.00651,0.03697,0.05319,0.01322,-0.00775,0.00305
V2,0.236-84,2024-04-08 00:00,69405.82,2024,0.00581,0.03138,0.01454,-0.05863,-0.06632,-0.10689,-0.00001,-0.00176,-0.01140,-0.04244,-0.06136,-0.10148,0.00582,0.03314,0.02594,-0.01619,-0.00496,-0.00541
V2,0.236-85,2024-04-14 00:00,64888.76,2024,-0.01041,0.00866,-0.01799,-0.00041,-0.02132,-0.03135,0.00154,-0.01333,-0.04814,-0.06132,-0.05759,-0.07904,-0.01195,0.02199,0.03014,0.06090,0.03627,0.04769
V2,0.236-86,2024-05-16 15:00,65374.79,2024,-0.00069,0.01833,0.02272,0.03806,0.04403,0.01307,0.00281,0.00871,0.02912,0.05267,0.05214,0.02639,-0.00350,0.00962,-0.00641,-0.01461,-0.00811,-0.01332
V2,0.236-87,2024-08-29 00:00,59024.81,2024,0.00852,0.00457,-0.00079,-0.01722,-0.02840,0.10892,-0.00323,-0.01484,-0.03002,-0.06996,-0.05661,0.05906,0.01176,0.01941,0.02923,0.05274,0.02821,0.04985
V2,0.236-88,2024-10-15 04:00,65901.79,2024,-0.00317,0.01820,0.02499,0.02186,0.07350,0.30906,0.00123,0.01541,0.02480,0.03393,0.05843,0.28831,-0.00440,0.00278,0.00019,-0.01207,0.01508,0.02075
V2,0.236-89,2024-11-07 04:05,74905.04,2024,-0.00122,0.01267,0.03106,0.18199,0.25389,0.28335,0.00927,0.02631,0.08577,0.16536,0.23550,0.27409,-0.01049,-0.01364,-0.05471,0.01663,0.01839,0.00926
V2,0.236-90,2024-11-12 10:00,87230.48,2024,-0.00737,0.00243,0.02145,0.05024,0.07006,0.14264,0.01026,0.01640,0.04968,0.09834,0.13412,0.17877,-0.01764,-0.01397,-0.02823,-0.04810,-0.06406,-0.03613
V2,0.236-91,2024-11-14 07:00,89129.18,2024,0.02380,-0.01075,0.01460,0.08442,0.06921,0.13360,0.00622,0.01230,0.04689,0.08621,0.09503,0.15349,0.01758,-0.02306,-0.03229,-0.00179,-0.02582,-0.01989
V2,0.236-92,2024-11-30 01:45,96613.92,2024,0.00226,-0.00232,-0.01119,0.03418,0.05612,-0.03131,0.00556,0.01063,0.01978,0.03124,0.05649,0.00796,-0.00330,-0.01295,-0.03097,0.00295,-0.00037,-0.03928
V2,0.236-93,2025-02-01 00:00,103245.58,2025,-0.00772,-0.02581,-0.01802,-0.06795,-0.05785,-0.09402,-0.00241,-0.00534,-0.01707,-0.03955,-0.04571,-0.15538,-0.00532,-0.02046,-0.00095,-0.02840,-0.01215,0.06136
V2,0.236-94,2025-04-03 00:00,85671.74,2025,-0.02679,-0.02838,-0.02563,-0.03647,-0.01867,0.12309,0.00102,-0.00116,-0.01214,0.00862,0.03212,0.14315,-0.02781,-0.02722,-0.01349,-0.04509,-0.05079,-0.02006
V2,0.236-95,2025-04-13 08:05,84300.58,2025,-0.00592,0.00441,-0.01327,0.00512,0.10992,0.19870,0.00218,0.00234,0.01783,0.05815,0.12279,0.21763,-0.00811,0.00207,-0.03110,-0.05303,-0.01287,-0.01893
